S.No,video_url,thumbnail_url,title,no_of_views,published_at
1,https://www.youtube.com/watch?v=RYOQOfdN2qg,https://i.ytimg.com/vi/RYOQOfdN2qg/default.jpg,How to Integrate Filestack in Flask Apps to Easily Handle File Uploads,2009,2023-02-25T15:00:27Z
2,https://www.youtube.com/watch?v=d0jR-2UB9Y0,https://i.ytimg.com/vi/d0jR-2UB9Y0/default.jpg,Using Multiple Select Fields with Flask-WTF and Flask-SQLAlchemy,1579,2023-02-11T15:00:32Z
3,https://www.youtube.com/watch?v=tSfdQJvTKmk,https://i.ytimg.com/vi/tSfdQJvTKmk/default.jpg,How to Upload Files to AWS S3 in Flask,1610,2023-01-30T15:00:43Z
4,https://www.youtube.com/watch?v=2j3em0QQaMg,https://i.ytimg.com/vi/2j3em0QQaMg/default.jpg,An Example of Celery in a Flask App With Multiple Files,3002,2023-01-27T15:00:01Z
5,https://www.youtube.com/watch?v=IBfj_0Zf2Mo,https://i.ytimg.com/vi/IBfj_0Zf2Mo/default.jpg,How to Deploy a Flask App and Postgres Database to Render,4451,2023-01-13T15:00:10Z
6,https://www.youtube.com/watch?v=T-y3_T1HgTI,https://i.ytimg.com/vi/T-y3_T1HgTI/default.jpg,Intro to Automated Browser Testing Flask Apps With Playwright and Pytest,2407,2022-12-06T15:00:15Z
7,https://www.youtube.com/watch?v=RLKW7ZMJOf4,https://i.ytimg.com/vi/RLKW7ZMJOf4/default.jpg,Getting Started With Testing in Flask,4666,2022-11-30T15:00:12Z
8,https://www.youtube.com/watch?v=EOb1uRP3X_Q,https://i.ytimg.com/vi/EOb1uRP3X_Q/default.jpg,How to Use Recaptchas in Django Forms,1451,2022-11-18T16:00:08Z
9,https://www.youtube.com/watch?v=tEh3oJcE0do,https://i.ytimg.com/vi/tEh3oJcE0do/default.jpg,Some New Features in Python 3.11,6256,2022-10-26T15:00:39Z
10,https://www.youtube.com/watch?v=ynToND_xOAM,https://i.ytimg.com/vi/ynToND_xOAM/default.jpg,How to Easily Style Your Django Form Fields With Django Widget Tweaks,4185,2022-10-04T16:45:17Z
